Id,SalePrice
1697,180000
1698,290000
1699,466500
1700,258000
1701,265000
1702,229456
1703,147000
1704,307000
1705,307000
1706,307000
1707,182000
1708,215200
1709,227000
1710,245000
1711,339750
1712,147000
1713,339750
1714,216000
1715,185000
1716,184900
1717,189000
1718,119900
1719,233000
1720,301000
1721,179000
1722,119900
1723,155000
1724,194500
1725,239500
1726,189000
1727,179200
1728,233000
1729,173000
1730,142953
1731,129000
1732,132500
1733,127000
1734,127000
1735,133000
1736,125500
1737,165000
1738,248000
1739,226000
1740,147000
1741,339750
1742,172500
1743,183900
1744,181500
1745,324000
1746,187000
1747,197500
1748,229000
1749,165000
1750,161500
1751,299800
1752,100000
1753,142000
1754,187500
1755,165000
1756,129000
1757,111250
1758,155000
1759,166000
1760,169500
1761,98600
1762,162000
1763,190000
1764,136500
1765,150750
1766,157900
1767,147000
1768,145500
1769,180000
1770,124500
1771,141000
1772,123000
1773,118000
1774,143000
1775,136000
1776,123000
1777,134500
1778,129900
1779,132000
1780,242000
1781,138800
1782,109000
1783,109500
1784,125500
1785,100000
1786,87000
1787,143000
1788,86000
1789,100000
1790,115000
1791,158000
1792,167500
1793,88000
1794,129900
1795,132500
1796,148000
1797,110000
1798,123000
1799,124500
1800,154000
1801,146500
1802,118500
1803,167500
1804,156000
1805,88000
1806,157000
1807,117500
1808,116900
1809,125000
1810,117500
1811,122500
1812,113000
1813,110500
1814,100000
1815,106250
1816,100000
1817,124000
1818,161000
1819,98000
1820,86000
1821,131500
1822,157500
1823,35311
1824,149000
1825,214500
1826,144000
1827,79900
1828,210000
1829,105000
1830,113000
1831,159500
1832,139000
1833,85000
1834,157000
1835,139000
1836,102776
1837,103000
1838,135000
1839,108959
1840,179000
1841,137500
1842,91500
1843,148000
1844,125000
1845,143500
1846,131400
1847,244400
1848,80000
1849,155000
1850,85000
1851,79000
1852,155000
1853,198500
1854,179000
1855,153337
1856,215000
1857,147000
1858,118964
1859,107000
1860,153337
1861,107000
1862,236000
1863,236000
1864,236000
1865,297000
1866,297000
1867,200141
1868,255000
1869,193879
1870,206000
1871,297000
1872,176432
1873,240000
1874,136500
1875,185000
1876,231500
1877,203000
1878,192500
1879,147000
1880,136500
1881,226000
1882,233230
1883,200500
1884,213500
1885,255000
1886,261500
1887,155835
1888,297000
1889,176432
1890,94750
1891,140000
1892,112000
1893,85000
1894,118000
1895,94750
1896,117000
1897,136500
1898,155000
1899,381000
1900,139000
1901,222000
1902,157000
1903,239000
1904,250000
1905,158500
1906,189950
1907,158500
1908,151000
1909,151000
1910,151000
1911,235000
1912,335000
1913,55000
1914,102776
1915,392500
1916,91000
1917,215000
1918,129500
1919,129500
1920,84500
1921,283463
1922,293077
1923,335000
1924,228950
1925,214900
1926,315000
1927,112000
1928,173000
1929,156000
1930,169900
1931,129500
1932,201000
1933,172000
1934,181000
1935,188000
1936,192000
1937,177000
1938,169990
1939,213500
1940,170000
1941,172785
1942,174000
1943,180000
1944,556581
1945,319000
1946,141000
1947,392000
1948,141000
1949,215000
1950,140000
1951,180000
1952,180000
1953,82500
1954,162900
1955,140000
1956,299800
1957,162900
1958,299800
1959,129000
1960,136500
1961,109008
1962,85400
1963,106000
1964,112000
1965,148500
1966,127500
1967,233170
1968,372402
1969,374000
1970,374000
1971,374000
1972,412500
1973,317000
1974,284000
1975,372402
1976,220000
1977,281000
1978,440000
1979,284000
1980,202500
1981,367294
1982,254000
1983,254000
1984,175500
1985,215000
1986,160200
1987,215000
1988,174000
1989,174000
1990,215000
1991,224000
1992,185000
1993,174000
1994,179000
1995,170000
1996,258000
1997,248000
1998,190000
1999,190000
2000,290000
2001,258000
2002,339750
2003,227000
2004,307000
2005,339750
2006,215200
2007,147000
2008,250580
2009,201000
2010,194500
2011,119900
2012,179900
2013,173000
2014,193000
2015,194500
2016,193000
2017,233000
2018,131400
2019,149500
2020,132500
2021,133000
2022,165000
2023,135000
2024,290000
2025,403000
2026,196000
2027,148800
2028,144152
2029,185000
2030,226000
2031,239000
2032,226000
2033,239000
2034,148800
2035,226000
2036,172500
2037,172500
2038,226000
2039,324000
2040,294000
2041,165000
2042,239000
2043,175500
2044,185000
2045,175000
2046,154000
2047,146500
2048,110000
2049,142000
2050,185000
2051,109500
2052,148000
2053,143000
2054,128000
2055,157900
2056,174000
2057,133700
2058,180500
2059,128000
2060,169500
2061,154000
2062,140000
2063,109008
2064,136000
2065,151500
2066,215000
2067,132000
2068,166000
2069,97000
2070,100000
2071,105900
2072,117500
2073,110000
2074,242000
2075,176000
2076,133700
2077,159000
2078,135000
2079,157500
2080,105500
2081,136000
2082,141000
2083,146000
2084,109500
2085,157500
2086,140000
2087,105000
2088,98000
2089,100000
2090,157000
2091,104000
2092,200000
2093,128000
2094,80000
2095,117500
2096,64500
2097,96500
2098,131500
2099,115000
2100,113000
2101,128500
2102,140000
2103,116900
2104,106000
2105,157500
2106,100000
2107,153900
2108,117000
2109,100000
2110,89000
2111,223500
2112,210000
2113,131000
2114,129000
2115,223500
2116,102000
2117,141500
2118,127500
2119,113000
2120,80500
2121,102000
2122,115000
2123,116500
2124,210000
2125,124500
2126,207000
2127,140000
2128,161000
2129,78000
2130,135000
2131,125500
2132,141000
2133,120500
2134,169500
2135,141000
2136,91000
2137,108000
2138,148000
2139,142500
2140,133000
2141,148000
2142,125500
2143,131500
2144,108959
2145,154500
2146,190000
2147,244400
2148,112000
2149,131500
2150,235000
2151,139600
2152,61000
2153,110000
2154,144500
2155,113000
2156,201000
2157,301000
2158,228000
2159,238000
2160,189000
2161,297000
2162,297000
2163,297000
2164,275000
2165,200000
2166,145000
2167,155835
2168,211000
2169,193000
2170,230000
2171,210000
2172,127000
2173,195000
2174,192500
2175,285000
2176,297000
2177,200000
2178,233230
2179,149000
2180,260000
2181,187100
2182,279500
2183,187100
2184,159500
2185,118500
2186,144500
2187,107000
2188,137500
2189,320000
2190,104900
2191,98000
2192,86000
2193,225000
2194,135500
2195,113000
2196,127500
2197,110000
2198,60000
2199,159434
2200,154900
2201,154900
2202,381000
2203,177000
2204,90350
2205,189950
2206,90350
2207,230000
2208,311500
2209,250000
2210,151000
2211,120500
2212,125500
2213,152000
2214,85000
2215,152000
2216,78000
2217,120500
2218,34900
2219,85000
2220,101000
2221,392500
2222,275000
2223,168000
2224,172000
2225,84500
2226,170000
2227,220000
2228,293077
2229,202900
2230,170000
2231,224500
2232,160000
2233,228000
2234,201000
2235,220000
2236,201000
2237,270000
2238,206300
2239,84500
2240,162000
2241,170000
2242,129900
2243,127000
2244,97000
2245,91000
2246,171500
2247,97000
2248,138000
2249,138000
2250,132250
2251,141000
2252,155000
2253,169000
2254,168500
2255,193000
2256,174000
2257,188000
2258,176485
2259,178000
2260,141000
2261,170000
2262,180000
2263,556581
2264,319000
2265,145000
2266,325000
2267,361919
2268,361919
2269,140000
2270,170000
2271,205000
2272,190000
2273,82500
2274,153500
2275,161500
2276,82500
2277,185750
2278,147000
2279,110000
2280,115000
2281,237500
2282,181000
2283,106000
2284,112000
2285,140000
2286,100000
2287,386250
2288,280000
2289,360000
2290,415298
2291,280000
2292,374000
2293,415298
2294,415298
2295,395192
2296,280000
2297,372402
2298,386250
2299,380000
2300,281000
2301,275000
2302,214000
2303,318000
2304,318000
2305,185850
2306,185850
2307,185850
2308,209500
2309,254000
2310,254000
2311,154000
2312,178000
2313,174000
2314,156932
2315,178000
2316,174000
2317,173000
2318,178000
2319,179540
2320,176485
2321,264561
2322,159895
2323,190000
2324,184100
2325,215000
2326,163900
2327,200000
2328,215000
2329,169000
2330,169000
2331,403000
2332,755000
2333,290000
2334,290000
2335,258000
2336,348000
2337,263435
2338,339750
2339,214000
2340,370878
2341,252678
2342,232000
2343,307000
2344,226700
2345,210000
2346,250580
2347,263435
2348,215200
2349,227875
2350,307000
2351,250000
2352,147000
2353,270000
2354,119900
2355,141000
2356,142500
2357,194500
2358,201000
2359,120000
2360,129000
2361,129500
2362,165000
2363,125500
2364,175000
2365,197000
2366,185000
2367,185000
2368,339750
2369,199900
2370,177000
2371,179400
2372,263435
2373,303477
2374,239000
2375,324000
2376,165000
2377,324000
2378,165000
2379,250000
2380,140000
2381,82500
2382,202500
2383,213250
2384,227000
2385,165000
2386,82500
2387,159950
2388,101800
2389,144900
2390,207500
2391,149000
2392,116000
2393,244000
2394,129900
2395,163000
2396,169500
2397,207500
2398,133700
2399,100000
2400,110000
2401,39300
2402,138800
2403,146500
2404,149900
2405,169500
2406,135750
2407,129900
2408,145500
2409,148000
2410,137000
2411,128900
2412,165000
2413,157900
2414,153000
2415,160000
2416,129000
2417,136500
2418,128900
2419,123000
2420,129000
2421,138800
2422,117000
2423,143000
2424,146500
2425,118000
2426,120000
2427,159500
2428,345000
2429,110000
2430,136500
2431,105000
2432,129900
2433,139000
2434,165500
2435,140000
2436,98300
2437,129000
2438,123000
2439,100000
2440,115000
2441,87000
2442,80000
2443,109500
2444,119000
2445,125000
2446,161000
2447,125000
2448,117500
2449,110500
2450,168000
2451,115000
2452,140000
2453,97000
2454,161000
2455,88000
2456,132500
2457,134900
2458,82500
2459,80500
2460,141500
2461,114500
2462,141500
2463,131000
2464,140000
2465,214500
2466,129000
2467,115000
2468,115000
2469,96500
2470,141000
2471,147000
2472,135000
2473,108000
2474,141000
2475,135000
2476,102000
2477,148000
2478,131400
2479,139000
2480,148000
2481,125500
2482,142000
2483,125500
2484,129000
2485,139000
2486,121500
2487,135000
2488,135000
2489,154000
2490,170000
2491,112000
2492,192000
2493,110000
2494,113000
2495,127500
2496,211000
2497,110000
2498,60000
2499,198500
2500,120000
2501,129000
2502,111000
2503,119000
2504,187000
2505,236000
2506,297000
2507,245350
2508,297000
2509,212900
2510,230000
2511,185500
2512,197900
2513,215000
2514,235000
2515,136500
2516,203000
2517,145000
2518,123600
2519,203000
2520,193000
2521,193000
2522,235000
2523,122000
2524,133900
2525,136500
2526,138000
2527,149900
2528,149900
2529,149900
2530,149900
2531,260000
2532,231500
2533,219500
2534,255000
2535,261500
2536,208500
2537,155835
2538,178000
2539,206000
2540,176432
2541,180000
2542,173900
2543,147500
2544,82500
2545,95000
2546,148000
2547,144500
2548,137500
2549,157000
2550,320000
2551,130000
2552,61000
2553,82000
2554,179000
2555,103600
2556,113000
2557,115000
2558,135900
2559,149000
2560,140000
2561,165000
2562,235000
2563,165000
2564,235000
2565,96500
2566,189950
2567,235000
2568,217000
2569,224000
2570,151000
2571,311500
2572,151000
2573,223000
2574,90350
2575,125500
2576,125500
2577,85000
2578,169500
2579,81000
2580,147000
2581,102776
2582,102776
2583,392500
2584,156000
2585,271000
2586,271000
2587,173000
2588,169900
2589,156000
2590,220000
2591,137500
2592,220000
2593,265900
2594,228000
2595,220000
2596,270000
2597,204000
2598,214900
2599,335000
2600,115000
2601,156000
2602,83500
2603,91000
2604,81000
2605,75000
2606,129500
2607,165500
2608,171500
2609,172000
2610,129500
2611,84500
2612,171500
2613,112000
2614,134000
2615,159000
2616,128900
2617,176000
2618,176500
2619,345000
2620,193000
2621,185000
2622,179000
2623,239900
2624,222500
2625,213500
2626,172400
2627,170000
2628,325000
2629,325000
2630,325000
2631,556581
2632,361919
2633,392000
2634,361919
2635,153500
2636,190000
2637,153500
2638,310000
2639,205000
2640,140000
2641,110000
2642,181000
2643,88000
2644,125000
2645,106000
2646,85400
2647,83000
2648,140000
2649,163000
2650,148500
2651,127500
2652,350000
2653,256300
2654,318000
2655,374000
2656,325300
2657,426000
2658,325300
2659,465000
2660,426000
2661,374000
2662,374000
2663,350000
2664,254000
2665,367294
2666,319900
2667,178900
2668,178000
2669,176485
2670,225000
2671,178000
2672,246578
2673,194201
2674,160200
2675,213490
2676,215000
2677,185000
2678,215000
2679,271000
2680,258000
2681,403000
2682,755000
2683,745000
2684,341000
2685,403000
2686,303477
2687,339750
2688,232000
2689,215200
2690,339750
2691,186500
2692,119900
2693,184900
2694,119900
2695,194500
2696,233000
2697,201000
2698,189000
2699,179200
2700,179200
2701,178000
2702,129000
2703,127000
2704,150000
2705,127000
2706,125500
2707,132500
2708,127000
2709,136500
2710,129000
2711,385000
2712,403000
2713,197000
2714,147400
2715,172500
2716,165000
2717,176000
2718,239000
2719,82500
2720,181000
2721,155000
2722,169500
2723,110000
2724,129900
2725,143000
2726,142125
2727,139900
2728,159500
2729,162000
2730,164900
2731,134500
2732,116000
2733,105000
2734,139900
2735,169500
2736,138000
2737,111250
2738,124000
2739,169500
2740,116050
2741,159000
2742,160000
2743,153000
2744,215000
2745,135750
2746,135960
2747,160000
2748,176500
2749,133700
2750,153000
2751,109008
2752,242000
2753,142000
2754,295000
2755,142000
2756,100000
2757,116000
2758,110000
2759,157500
2760,124000
2761,167500
2762,156000
2763,166000
2764,244000
2765,201800
2766,138000
2767,90000
2768,141000
2769,145000
2770,178400
2771,134500
2772,135000
2773,159500
2774,113000
2775,117500
2776,163000
2777,137000
2778,114504
2779,113000
2780,119000
2781,64500
2782,110000
2783,113000
2784,140000
2785,161000
2786,87000
2787,89471
2788,105900
2789,117500
2790,107000
2791,100000
2792,34900
2793,210000
2794,80500
2795,115000
2796,88000
2797,122000
2798,135000
2799,85000
2800,91000
2801,120500
2802,131400
2803,108000
2804,138500
2805,84000
2806,91000
2807,91000
2808,175000
2809,145000
2810,133000
2811,150000
2812,125000
2813,149350
2814,130500
2815,135000
2816,256000
2817,256000
2818,132500
2819,173000
2820,113000
2821,139600
2822,108000
2823,108000
2824,107000
2825,155000
2826,84900
2827,130500
2828,187000
2829,147000
2830,200000
2831,194000
2832,260000
2833,305900
2834,213500
2835,216837
2836,180000
2837,192000
2838,179900
2839,195000
2840,185000
2841,193000
2842,223500
2843,163990
2844,206000
2845,149900
2846,200500
2847,193000
2848,155835
2849,200500
2850,230000
2851,213500
2852,223500
2853,222500
2854,155900
2855,203000
2856,197900
2857,180000
2858,210000
2859,137500
2860,137500
2861,94750
2862,198500
2863,108000
2864,165400
2865,140000
2866,130000
2867,155000
2868,104900
2869,103600
2870,136900
2871,86000
2872,126000
2873,108000
2874,102000
2875,102000
2876,155000
2877,189000
2878,234000
2879,135000
2880,115000
2881,200624
2882,219500
2883,381000
2884,154900
2885,154900
2886,239000
2887,89500
2888,102776
2889,91000
2890,102776
2891,135000
2892,34900
2893,55000
2894,102776
2895,392500
2896,275000
2897,165500
2898,143000
2899,201000
2900,165500
2901,228000
2902,220000
2903,270000
2904,283463
2905,115000
2906,168000
2907,115000
2908,112000
2909,171000
2910,92000
2911,85000
2912,150900
2913,85000
2914,75000
2915,75000
2916,85000
2917,84500
2918,129500
2919,172000
